,Column 0,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19
2000-01-03,159.7222686881895,348.8199891605626,377.21547257548195,266.0871071946152,125.66720845469293,163.01835742080013,195.9951035817642,212.52548873064325,176.61066261346676,188.8113387162738,236.78199828488331,276.6301784061521,456.3676838883564,129.0493209233071,227.37915780455486,491.12710529468285,339.73264657118636,373.7833061713339,276.33734195961915,311.97879808294044
2000-01-04,159.81867493988156,349.56488163512677,378.1988329910156,267.0369760253672,125.42503597666042,162.92801374808562,196.56514005861413,211.9517243961297,176.73356718368922,189.6204138094176,237.23728269749142,276.30649230563057,455.4991419039617,129.46768971144962,227.05017182278536,490.80692999358166,340.45688190549254,374.52538471173403,276.7884403082636,311.30136488868027
2000-01-05,159.0385742736597,348.7757766134454,377.4073883218483,266.23173640253907,125.83968597721346,162.50844933740171,196.64056462876854,211.67682263297579,177.66513878436268,189.38478545782272,237.88518891917477,276.69290037646033,456.4663183233356,129.0050413546151,227.9349901548549,490.8734800694861,339.91239248494,375.18641391689715,276.9605621478323,311.76229188237477
2000-01-06,158.05433480925393,348.1061650723284,378.01893510933974,267.05208763953345,126.67732341942079,162.3622282836777,196.52305784752144,211.07334974831147,177.11710603769387,188.87348435686832,237.6029755301387,276.57162782435614,456.9073140571864,129.39376846642512,227.526605824181,491.8425129466463,340.30184838157777,376.04809524520397,276.93052205731294,310.81885396272446
2000-01-07,158.5511963560156,348.9477242854473,377.18566484704496,268.0083779734707,127.65453535858339,161.54295892242132,197.03728990643918,210.1275858834014,177.39007829674193,188.67830831293088,237.56773528824786,275.75265688705514,456.3992225637994,128.42773760406524,227.93225832221412,491.0267029937622,339.4794206003364,375.6035964869957,277.5235819791536,310.8726258959716
2000-01-10,158.29678627469852,348.8232041852756,376.61634460217874,267.8647126950025,126.86387183121907,161.75605491499024,197.02415342491264,210.85558890435004,178.1821797194728,188.59602811524988,237.72992322500514,275.26713916517474,456.6357417217759,127.982769912774,227.0181818842826,490.5514002113835,339.73030333310965,375.77083544441945,278.20799808396555,311.4772833645983
2000-01-11,158.7059807202187,349.6515656899385,376.86088516490435,268.0815719867771,126.8602112552447,162.23929382512128,197.66385060411335,210.56734985535374,179.1047168419274,188.86364015077615,237.05387655130633,276.0619577251379,456.20055648593586,128.88454366874714,227.33069777622603,489.97521212345356,340.7083688863791,376.66836162145614,277.79191430648785,310.5745279772834
2000-01-12,158.31224591874178,349.7921553299568,377.7743899585689,267.6672964856116,127.29399522474952,162.4777857715835,198.52148595513304,210.76760242753673,180.02544155232607,189.620958914272,237.85580761562497,276.51182815970606,456.8371338888672,129.1689191973405,226.62991052684313,489.76677075566937,339.8970406695426,377.1749705393577,278.3146701948792,309.8303477598784
2000-01-13,157.50886432502796,350.31425342438064,377.911174221006,266.95060944026346,128.29261880567515,162.29172373604166,198.27029385524767,210.21896674137142,179.90518088543683,190.06997721547663,238.5899250779852,276.9211621660536,457.15463040680214,129.59642128599847,226.56875728891853,489.83888241697315,340.0302000032988,377.59883792025386,277.7816475077061,310.5413169049045
2000-01-14,158.25197497573703,350.73520509402687,378.5615618243465,267.9213864736882,127.95565321467767,162.45967203360235,197.84732416887186,211.05369359957766,179.73963937567405,189.88966820883383,237.6690241409562,276.75866303356025,456.2414777956487,129.210235064648,227.25078284910944,489.872897356455,339.5179065375148,377.31240401037644,277.5476069222241,311.5094829017113
